# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       29.379     8792.730
       0.114      167.300       62.945     9110.645
       0.228      222.200       89.812     9195.645
       0.336      292.700      106.289     9198.645
       0.445      275.800      118.348     9198.645
       0.555      254.500      127.848     9721.707
       0.668      236.900      130.148     9721.707
       0.778      246.900      140.934     9721.707
       0.887      262.100      142.848     9721.707
       0.998      268.500      145.641     9721.707
       1.107      252.300      158.445     9794.707
       1.221      251.900      169.617     9794.707
       1.333      227.600      183.227     9794.707
       1.442      271.600      201.664     9794.707
       1.552      266.500      209.785     9794.707
       1.666      281.400      219.551     9794.707
       1.775      242.300      227.828     9794.707
       1.887      253.700      244.641     9800.707
       1.997      259.200      257.125     9800.707
       2.110      259.400      267.664     9799.707
       2.221      191.500      277.965     9799.707
       2.331      165.800      295.371     9807.707
       2.439      216.300      304.125     9872.707
       2.549      303.300      317.277    10067.730
       2.662      216.900      176.570    10067.730
       2.772      244.700      184.555    10067.785
       2.882      238.600      193.027    10068.785
       3.000      264.100      198.305    10263.785
       3.118       35.500      198.707    10263.785
       3.231        0.000        0.984        2.824
