# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       28.203     8205.742
       1.024      224.900      111.969     9004.656
       2.045      248.900      143.141     9529.719
       3.081      223.500      161.293     9602.719
       4.115      226.600      208.719     9603.719
       5.143      230.000      242.887     9603.719
       6.169      213.000      289.113     9611.719
       7.193      223.500      178.258     9872.742
       8.237      187.500      196.750     9874.797
       9.253       48.000      198.645     9874.797
      10.275       37.400      200.262     9874.797
      11.293       34.300      203.086     9874.797
      12.313       37.200      205.297     9874.797
      13.332       27.400      206.973     9874.797
      14.354       19.500      208.250     9874.797
      15.379       30.200      210.230     9874.797
      16.406       22.600      211.617     9874.797
      17.427       62.900      212.094     9873.797
      18.441       31.500      213.074     9872.797
      19.459       42.100      215.301     9872.797
      20.481       29.400      217.824     9872.797
      21.503       31.500      219.445     9872.797
      22.523       36.900      228.277     9872.797
      23.549       31.300      228.469     9872.797
      24.573       28.200      228.758     9872.797
      25.599       19.500      228.809     9872.797
      26.627       21.500      228.918     9872.797
      27.646       27.500      230.469     9872.797
      28.667       34.200      231.379     9872.797
      29.693       25.300      231.434     9872.797
      30.718       32.300      231.715     9872.797
      31.739       23.500      231.793     9872.797
      32.765       17.700      231.793     9872.797
      33.784       27.500      231.793     9872.797
      34.802       28.600      232.035     9872.797
      35.819       17.500      232.551     9872.797
      36.845       22.400      232.758     9872.797
      37.871       17.600      232.758     9872.797
      38.897       11.800      233.828     9872.797
      39.914       29.400      234.086     9872.797
      40.931       18.500      234.207     9872.797
      41.959       28.200      234.285     9872.797
      42.987       35.200      234.320     9872.797
      44.008       32.100      234.320     9872.797
      45.036       18.500      234.320     9872.797
      46.061       17.600      234.367     9872.797
      47.083       15.700      234.367     9872.797
      48.099       13.700      234.367     9872.797
      49.119       19.700      234.367     9872.797
      50.134       35.400      234.367     9872.797
      51.152       20.700      234.367     9872.797
      52.168       26.500      234.367     9872.797
      53.184       13.700      234.422     9872.797
      54.202       62.100      234.410     9872.797
      55.216       12.800      233.652     9871.797
      56.235        9.800      233.715     9871.797
      57.259       13.700      233.715     9871.797
      58.281       61.800      233.715     9871.797
      59.300       30.400      233.715     9871.797
      60.321       16.600      233.715     9871.797
      61.343        6.900      233.715     9871.797
      62.362       13.800      233.715     9871.797
      63.382       27.400      232.910     9870.797
      64.402       19.600      232.910     9870.797
      65.423       21.400      232.910     9870.797
      66.447       20.700      232.910     9870.797
      67.461       36.100      232.910     9870.797
      68.488       17.700      232.910     9870.797
      69.502       26.300      232.910     9870.797
      70.528       39.200      232.082     9869.797
      71.547        8.900      232.082     9869.797
      72.564       30.300      231.086     9868.797
      73.590       15.600      231.086     9868.797
      74.611        8.800      231.086     9868.797
      75.632       27.300      227.594     9866.797
      76.658       45.200      237.125     9874.797
      77.688       17.300      236.379     9873.797
      78.714        6.900      236.379     9873.797
      79.731        5.900      236.379     9873.797
      80.752       25.300      235.934     9873.797
      81.780        9.700      235.438     9872.797
      82.808        7.800      203.418     9842.797
      83.827       17.500      216.020     9858.797
      84.854       33.100      229.926     9868.797
      85.882       20.600      232.180     9869.797
      86.905        7.800      191.641     9822.531
      87.929        8.800      191.641     9822.531
      88.957       10.700      203.703     9843.797
      89.988        5.900      191.641     9822.531
      91.004        7.900      191.641     9822.531
      92.020       17.700      214.602     9854.797
      93.038       35.000      236.637     9874.797
      94.064       22.700      236.215     9873.797
      95.080       27.600      236.215     9873.797
      96.097        6.900      236.215     9873.797
      97.110       36.300      235.930     9873.797
      98.130       24.500      237.082     9874.797
      99.152        7.800      237.082     9874.797
     100.171       28.500      237.277     9874.797
     101.193       23.600      236.535     9873.797
     102.211        6.800      191.910     9822.531
