# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       52.945      300.105
       0.010      106.900       57.867      304.105
       0.019       92.600       61.914      306.105
       0.030       66.300       71.996      456.121
       0.047       59.300       76.660      461.121
       0.063      113.600       81.574      464.121
       0.080       64.600       84.320      623.133
       0.095        0.000       84.320      623.133
       0.111        0.000       84.320      623.133
       0.122        0.000       84.320      623.133
       0.137        0.000       84.320      623.133
       0.148        0.000       84.320      623.133
       0.158        0.000       84.320      623.133
       0.168        0.000       84.320      623.133
       0.177        0.000       84.320      623.133
       0.186        0.000       84.320      623.133
       0.194        0.000       84.320      623.133
       0.202        0.000       84.320      623.133
       0.211        0.000       84.320      623.133
       0.219        0.000       84.320      623.133
       0.227        0.000       84.320      623.133
       0.234        0.000       84.320      623.133
       0.241        0.000       84.320      623.133
       0.250        0.000       84.320      623.133
       0.260        0.000       84.320      623.133
       0.269        0.000       84.320      623.133
       0.278        0.000       84.320      623.133
       0.287        0.000        0.980        2.824
