# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.003        0.000       53.270      300.105
       0.011      250.400       57.695      304.105
       0.019      102.200       71.293      456.121
       0.041       58.800       76.180      460.121
       0.057      167.500       80.352      464.121
       0.068       63.700       84.598      623.133
       0.084        0.000       84.598      623.133
       0.098        0.000       84.598      623.133
       0.113        0.000       84.598      623.133
       0.127        0.000       84.598      623.133
       0.142        0.000       84.598      623.133
       0.153        0.000       84.598      623.133
       0.162        0.000       84.598      623.133
       0.171        0.000       84.598      623.133
       0.181        0.000       84.598      623.133
       0.195        0.000       84.598      623.133
       0.205        0.000       84.598      623.133
       0.215        0.000       84.598      623.133
       0.224        0.000       84.598      623.133
       0.233        0.000       84.598      623.133
       0.242        0.000       84.598      623.133
       0.251        0.000       84.598      623.133
       0.261        0.000       84.598      623.133
       0.269        0.000       84.598      623.133
       0.277        0.000        0.949        2.824
