# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       29.809     8792.730
       0.115      174.400       71.188     9057.645
       0.224      255.800       93.418     9198.645
       0.334      311.300      107.918     9198.645
       0.446      252.400      116.945     9198.645
       0.557      234.900      124.160     9718.707
       0.668      251.600      132.543     9724.707
       0.779      256.000      143.707     9724.707
       0.892      255.800      145.219     9724.707
       1.001      247.800      147.555     9724.707
       1.110      254.700      154.180     9789.707
       1.221      233.200      169.445     9797.707
       1.339      230.600      179.434     9797.707
       1.450      227.400      189.000     9797.707
       1.564      278.400      206.320     9797.707
       1.675      267.000      217.398     9797.707
       1.787      261.600      228.625     9797.707
       1.898      236.500      236.996     9797.707
       2.008      253.700      252.992     9801.707
       2.118      247.400      266.031     9803.840
       2.228      223.200      277.707     9802.707
       2.340      207.900      290.102     9808.707
       2.451      212.100      302.117     9873.707
       2.568      250.300      305.762     9872.707
       2.681      289.200      172.547    10067.730
       2.791      243.400      181.938    10067.730
       2.901      217.900      189.668    10067.785
       3.015      257.500      194.031    10067.785
       3.129      221.800      197.363    10262.785
       3.246       17.700      197.363    10262.785
