# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       53.918      300.105
       0.011      121.700       58.348      305.105
       0.027      143.800       69.355      454.121
       0.048       83.100       74.500      458.121
       0.065      167.100       78.410      462.121
       0.083       54.300       82.605      466.121
       0.101       73.300       84.281      623.133
       0.115        0.000       84.281      623.133
       0.132        0.000       84.281      623.133
       0.156        0.000       84.281      623.133
       0.167        0.000       84.281      623.133
       0.177        0.000       84.281      623.133
       0.187        0.000       84.281      623.133
       0.196        0.000       84.281      623.133
       0.206        0.000       84.281      623.133
       0.215        0.000       84.281      623.133
       0.225        0.000       84.281      623.133
       0.234        0.000       84.281      623.133
       0.245        0.000       84.281      623.133
       0.253        0.000       84.281      623.133
       0.266        0.000       84.281      623.133
       0.276        0.000       84.281      623.133
       0.285        0.000       84.281      623.133
       0.294        0.000       84.281      623.133
       0.303        0.000        0.918        2.824
