# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       29.516     8727.730
       0.125      188.900       68.309     9182.645
       0.235      262.800       88.199     9198.645
       0.350      258.700      104.934     9199.645
       0.461      293.100      116.172     9199.645
       0.574      236.300      124.793     9719.707
       0.684      263.500      126.590     9719.707
       0.794      250.800      144.234     9725.707
       0.910      250.400      146.344     9725.707
       1.024      241.600      148.289     9725.707
       1.139      257.500      154.012     9790.707
       1.252      219.000      167.078     9798.707
       1.365      246.400      176.410     9798.707
       1.474      198.000      189.160     9798.707
       1.586      268.000      206.430     9798.707
       1.697      270.200      214.664     9798.707
       1.808      271.900      224.934     9798.707
       1.920      240.700      233.723     9798.707
       2.031      254.900      244.844     9798.707
       2.141      236.800      255.828     9798.707
       2.251      249.200      267.688     9798.707
       2.367      220.700      280.941     9798.707
       2.476      184.200      298.359     9806.707
       2.584      233.700      303.867     9871.707
       2.701      283.000      169.438    10067.730
       2.821      235.700      181.023    10067.730
       2.931      226.600      188.742    10067.785
       3.042      252.000      193.664    10067.785
       3.153      272.900      198.781    10262.785
       3.270      135.200      199.242    10262.785
       3.382       72.200        0.934        2.824
