# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000       29.188     8400.730
       0.111      163.700       49.023     9107.605
       0.228      219.400       76.891     9128.645
       0.342      227.800       93.203     9196.645
       0.456      287.400      103.305     9198.645
       0.568      259.500      110.945     9198.645
       0.679      260.600      121.750     9718.707
       0.790      237.900      124.387     9718.707
       0.900      246.800      128.512     9718.707
       1.010      231.700      138.359     9718.707
       1.121      241.600      140.117     9719.707
       1.233      251.600      142.094     9719.707
       1.345      242.700      150.227     9784.707
       1.455      212.300      164.309     9792.707
       1.565      242.700      173.012     9792.707
       1.675      238.300      184.703     9792.707
       1.790      256.500      202.359     9792.707
       1.901      274.400      212.887     9792.707
       2.011      273.600      221.262     9792.707
       2.121      263.800      233.559     9797.707
       2.235      240.700      247.477     9800.707
       2.346      260.000      257.555     9799.707
       2.458      236.200      270.984     9799.707
       2.570      188.900      282.719     9799.707
       2.681      167.200      298.355     9807.707
       2.792      205.500      303.316     9872.707
       2.904      272.700      316.477    10068.730
       3.018      238.300      178.293    10068.730
       3.127      251.400      185.891    10068.730
       3.239      223.200      191.387    10068.785
       3.352      270.200      196.457    10068.785
       3.465      221.200      199.953    10263.785
       3.602       81.100      199.953    10263.785
