# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000       27.766     8321.828
       0.117      179.100       66.406     9116.645
       0.228      223.900       84.312     9196.645
       0.340      257.600      103.680     9198.645
       0.449      280.300      116.152     9198.645
       0.561      229.700      124.047     9719.707
       0.673      243.900      130.879     9723.707
       0.783      229.700      142.480     9723.707
       0.892      240.600      144.098     9723.707
       1.000      245.900      146.332     9723.707
       1.110      249.200      156.332     9796.707
       1.223      222.800      169.488     9796.707
       1.339      237.600      178.996     9796.707
       1.448      229.300      188.973     9796.707
       1.558      272.700      208.109     9796.707
       1.668      276.100      215.578     9796.707
       1.780      279.000      223.953     9796.707
       1.891      235.100      232.855     9796.707
       2.002      246.100      249.125     9799.707
       2.111      251.200      258.184     9799.707
       2.222      243.100      270.727     9798.707
       2.335      208.000      281.605     9798.707
       2.445      148.000      296.781     9806.707
       2.552      240.200      303.250     9871.707
       2.665      313.700      315.648    10066.730
       2.783      209.600      175.539    10066.730
       2.894      251.400      183.590    10066.785
       3.004      241.600      191.605    10067.785
       3.121      283.500      195.102    10067.785
       3.236      211.600      197.391    10262.785
       3.355       27.100      197.391    10262.785
