# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       54.082      300.105
       0.010      109.600       59.156      305.105
       0.019       68.400       69.484      455.121
       0.034      124.800       74.320      458.121
       0.058       66.200       78.746      463.121
       0.073       92.500       83.336      466.121
       0.084       82.100       84.289      623.133
       0.097        0.000       84.289      623.133
       0.109        0.000       84.289      623.133
       0.119        0.000       84.289      623.133
       0.133        0.000       84.289      623.133
       0.150        0.000       84.289      623.133
       0.160        0.000       84.289      623.133
       0.171        0.000       84.289      623.133
       0.184        0.000       84.289      623.133
       0.195        0.000       84.289      623.133
       0.205        0.000       84.289      623.133
       0.215        0.000       84.289      623.133
       0.223        0.000       84.289      623.133
       0.232        0.000       84.289      623.133
       0.241        0.000       84.289      623.133
       0.252        0.000       84.289      623.133
       0.261        0.000       84.289      623.133
       0.272        0.000       84.289      623.133
       0.282        0.000        0.945        2.824
