# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       53.883      301.105
       0.013       88.400       57.680      304.105
       0.024      134.400       68.914      454.121
       0.042       56.700       72.809      457.121
       0.057      106.300       76.996      461.121
       0.077      136.000       81.395      465.121
       0.098       55.800       84.137      623.133
       0.116        0.000       84.137      623.133
       0.130        0.000       84.137      623.133
       0.153        0.000       84.137      623.133
       0.169        0.000       84.137      623.133
       0.182        0.000       84.137      623.133
       0.191        0.000       84.137      623.133
       0.200        0.000       84.137      623.133
       0.209        0.000       84.137      623.133
       0.220        0.000       84.137      623.133
       0.230        0.000       84.137      623.133
       0.241        0.000       84.137      623.133
       0.252        0.000       84.137      623.133
       0.260        0.000       84.137      623.133
       0.271        0.000       84.137      623.133
       0.281        0.000       84.137      623.133
       0.290        0.000       84.137      623.133
       0.302        0.000        1.008        2.824
