# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       52.938      300.105
       0.009        0.000       58.539      304.105
       0.018      235.300       69.379      454.121
       0.031        0.000       73.770      458.121
       0.045      224.700       77.535      461.121
       0.059        0.000       82.879      465.121
       0.076      146.700       84.629      623.133
       0.091        0.000       84.629      623.133
       0.108        0.000       84.629      623.133
       0.121        0.000       84.629      623.133
       0.136        0.000       84.629      623.133
       0.150        0.000       84.629      623.133
       0.161        0.000       84.629      623.133
       0.171        0.000       84.629      623.133
       0.181        0.000       84.629      623.133
       0.190        0.000       84.629      623.133
       0.200        0.000       84.629      623.133
       0.210        0.000       84.629      623.133
       0.218        0.000       84.629      623.133
       0.228        0.000       84.629      623.133
       0.238        0.000       84.629      623.133
       0.247        0.000       84.629      623.133
       0.256        0.000       84.629      623.133
       0.265        0.000       84.629      623.133
       0.275        0.000        1.004        2.824
       0.284        0.000        1.004        2.824
