# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       53.574      300.105
       0.010       99.000       56.418      302.105
       0.021      128.700       67.039      316.117
       0.037       90.700       72.984      457.121
       0.049       63.700       78.242      462.121
       0.063       83.200       83.977      466.121
       0.086        0.000       84.559      623.133
       0.104        0.000       84.559      623.133
       0.119        0.000       84.559      623.133
       0.135        0.000       84.559      623.133
       0.148        0.000       84.559      623.133
       0.162        0.000       84.559      623.133
       0.172        0.000       84.559      623.133
       0.183        0.000       84.559      623.133
       0.194        0.000       84.559      623.133
       0.205        0.000       84.559      623.133
       0.215        0.000       84.559      623.133
       0.226        0.000       84.559      623.133
       0.235        0.000       84.559      623.133
       0.244        0.000       84.559      623.133
       0.252        0.000       84.559      623.133
       0.260        0.000       84.559      623.133
       0.269        0.000       84.559      623.133
       0.277        0.000       84.559      623.133
       0.286        0.000        0.938        2.824
