# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       29.809     8728.730
       0.123      191.000       67.809     9117.645
       0.233      228.700       94.598     9198.645
       0.343      291.600      104.891     9198.645
       0.456      292.500      115.793     9198.645
       0.571      249.500      123.418     9718.707
       0.683      258.600      126.773     9718.707
       0.793      244.300      138.051     9718.707
       0.905      254.400      141.262     9720.707
       1.017      255.600      142.832     9720.707
       1.132      244.100      149.031     9720.707
       1.243      251.900      163.355     9793.707
       1.361      270.300      172.719     9793.707
       1.472      207.700      184.066     9793.707
       1.584      266.200      201.926     9793.707
       1.695      269.300      210.668     9793.707
       1.806      278.600      220.664     9793.707
       1.939      256.800      234.109     9798.707
       2.051      233.900      246.371     9799.707
       2.162      260.800      257.699     9799.707
       2.276      248.100      271.719     9799.707
       2.395      221.500      284.434     9807.707
       2.508      172.700      297.738     9807.707
       2.617      218.500      304.445     9872.707
       2.731      292.700      317.273    10067.730
       2.847      202.900      178.094    10067.730
       2.958      257.300      185.664    10067.754
       3.071      243.000      193.816    10068.785
       3.187      275.400      197.027    10068.785
       3.308      205.800      200.004    10263.785
       3.428       82.300      200.004    10263.785
