# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000       53.250      300.105
       0.015       67.400       58.348      305.105
       0.035      113.400       69.125      454.121
       0.056      121.200       73.020      457.121
       0.072       73.000       76.949      461.121
       0.087      111.200       79.785      464.121
       0.113      119.400       84.137      485.125
       0.130        0.000       84.352      559.133
       0.145        0.000       84.352      559.133
       0.159        0.000       84.352      559.133
       0.174        0.000       84.352      559.133
       0.185        0.000       84.352      559.133
       0.197        0.000       84.352      559.133
       0.207        0.000       84.352      559.133
       0.217        0.000       84.352      559.133
       0.226        0.000       84.352      559.133
       0.237        0.000       84.352      559.133
       0.246        0.000       84.352      559.133
       0.256        0.000       84.352      559.133
       0.265        0.000       84.352      559.133
       0.273        0.000       84.352      559.133
       0.284        0.000       84.352      559.133
       0.293        0.000       84.352      559.133
       0.303        0.000       84.352      559.133
       0.312        0.000       84.352      559.133
       0.322        0.000       84.352      559.133
       0.330        0.000        0.941        2.824
