# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000       27.746     8061.840
       1.025      227.800      111.105     9003.656
       2.057      249.100      140.152     9524.719
       3.087      236.300      162.938     9597.719
       4.109      238.600      208.637     9598.719
       5.137      248.700      252.914     9604.852
       6.161      190.400      292.969     9610.719
       7.191      233.900      180.566     9871.742
       8.225      192.800      199.141     9873.797
       9.251       63.000      202.051     9873.797
      10.267       57.200      204.988     9873.797
      11.285       52.500      208.621     9873.797
      12.310       45.700      212.039     9873.797
      13.338       69.500      214.633     9873.797
      14.360       72.700      217.641     9871.797
      15.379       56.700      229.617     9871.797
      16.402       62.300      229.996     9871.797
      17.428       36.900      230.215     9871.797
      18.460       47.000      232.652     9871.797
      19.480       46.200      232.809     9871.797
      20.496       39.200      232.828     9871.797
      21.517       46.100      233.184     9871.797
      22.536       49.200      233.277     9871.797
      23.572       34.400      233.277     9871.797
      24.588       31.400      234.344     9871.797
      25.608       32.400      234.480     9871.797
      26.625       51.400      234.535     9871.797
      27.656       47.700      234.535     9871.797
      28.684       20.600      234.578     9871.797
      29.702       28.400      234.578     9871.797
      30.723       47.100      234.578     9871.797
      31.742       36.100      234.578     9871.797
      32.766       24.200      234.578     9871.797
      33.797       72.000      248.352     9886.797
      34.812       17.700      248.883     9886.797
      35.831       43.900      251.500     9888.797
      36.856       45.800      239.227     9875.797
      37.883       23.600      238.246     9874.797
      38.900       26.400      238.246     9874.797
      39.921       60.800      239.301     9875.797
      40.944       30.300      237.320     9873.797
      41.968       27.500      237.320     9873.797
      42.982       27.500      237.320     9873.797
      44.000        9.800      237.320     9873.797
      45.023       35.400      237.398     9873.797
      46.041       16.600      236.422     9872.797
      47.068       14.800      236.422     9872.797
      48.082       57.000      235.477     9871.797
      49.100       10.700      235.477     9871.797
      50.124       16.600      235.477     9871.797
      51.149       12.700      235.477     9871.797
      52.175       35.400      235.582     9871.797
      53.192       19.700      235.582     9871.797
      54.212        9.800      235.582     9871.797
      55.224        8.800      192.098     9822.531
      56.243       32.200      227.191     9865.797
      57.268       29.400      235.957     9873.797
      58.288       19.500      235.957     9873.797
      59.311       28.600      237.246     9874.797
      60.333       20.300      237.762     9874.797
      61.358       39.100      237.199     9873.797
      62.381       17.600      237.199     9873.797
      63.403       48.900      229.379     9867.797
      64.425       11.700      230.180     9867.797
      65.445       20.500      230.180     9867.797
      66.472       13.700      230.180     9867.797
      67.492       10.800      192.289     9822.531
